from,to,weight,type
s01,s02,1.833333333,hyperlink
s01,s02,2,hyperlink
s01,s03,2.833333333,hyperlink
s01,s04,2.75,hyperlink
s04,s11,2.833333333,mention
s05,s15,2.75,mention
s06,s17,2.75,mention
s08,s09,1.916666667,mention
s08,s09,2,mention
s03,s04,2.833333333,hyperlink
s04,s03,2.916666667,hyperlink
s01,s15,2.666666667,mention
s15,s01,1.916666667,hyperlink
s15,s01,1.916666667,hyperlink
s16,s17,2.75,mention
s16,s06,2.916666667,hyperlink
s06,s16,2.75,hyperlink
s09,s10,2.75,mention
s08,s07,2.75,mention
s07,s08,2.833333333,mention
s07,s10,2.75,hyperlink
s05,s02,2.75,hyperlink
s02,s03,2.75,hyperlink
s02,s01,2.916666667,hyperlink
s03,s01,2.75,hyperlink
s12,s13,2.833333333,hyperlink
s12,s14,2.833333333,mention
s14,s13,2.75,mention
s13,s12,2.75,hyperlink
s05,s09,1.166666667,hyperlink
s02,s10,1.416666667,hyperlink
s03,s12,1.083333333,hyperlink
s04,s06,1.083333333,mention
s10,s03,1.166666667,hyperlink
s03,s10,1.166666667,mention
s04,s12,1.25,hyperlink
s13,s17,1.083333333,mention
s06,s06,1.083333333,hyperlink
s14,s11,1.083333333,mention
s03,s11,1.083333333,hyperlink
s12,s06,1.166666667,mention
s04,s17,1.166666667,mention
s17,s04,1.333333333,hyperlink
s08,s03,1.166666667,hyperlink
s03,s08,1.333333333,hyperlink
s07,s14,1.333333333,mention
s15,s06,1.333333333,hyperlink
s15,s04,1.083333333,hyperlink
s05,s01,1.083333333,mention
s02,s09,1.083333333,hyperlink
s03,s05,1.083333333,hyperlink
s07,s03,1.083333333,mention
