Source,Target,Weight,Type
Bert,Ernie,1,Partners
Adam,Eve,1,Partners
Batman,Joker,1,Enemies
Sherlock,Watson,1,Partners
Batman,Robin,1,Partners
Batman,Ivy,1,Enemies
Robin,Ivy,1,Enemies
Robin,Joker,1,Enemies
Sherlock,Moriarty,1,Enemies
Adam,Batman,1,Ancestor
Adam,Joker,1,Ancestor
Adam,Sherlock,1,Ancestor
Adam,Watson,1,Ancestor
Adam,Ivy,1,Ancestor
Adam,Moriarty,1,Ancestor
Eve,Batman,1,Ancestor
Eve,Joker,1,Ancestor
Eve,Sherlock,1,Ancestor
Eve,Watson,1,Ancestor
Eve,Ivy,1,Ancestor
Eve,Moriarty,1,Ancestor
Adam,Bert,1,Ancestor
Adam,Ernie,1,Ancestor
Eve,Bert,1,Ancestor
Eve,Ernie,1,Ancestor
