"id" "remote" "weight" "gender" "group"
"1" 1 5 151 0 1
"2" 2 7 152 0 2
"3" 3 3 153 0 1
"4" 4 2 165 0 2
"5" 5 5 138 0 1
"6" 6 0 149 0 2
"7" 7 5 142 0 1
"8" 8 9 139 0 2
"9" 9 1 140 0 2
"10" 10 8 138 0 1
"11" 11 7 137 0 1
"12" 12 7 119 0 1
"13" 13 8 140 0 2
"14" 14 9 145 0 1
"15" 15 5 126 0 2
"16" 16 3 142 0 2
"17" 17 6 127 0 2
"18" 18 10 135 0 1
"19" 19 7 149 0 2
"20" 20 7 134 0 2
"21" 21 5 157 0 2
"22" 22 7 141 0 2
"23" 23 4 146 0 2
"24" 24 8 127 0 1
"25" 25 1 143 0 2
"26" 26 4 151 0 2
"27" 27 8 132 0 1
"28" 28 2 149 0 1
"29" 29 0 144 0 2
"30" 30 5 148 0 1
"31" 31 2 119 0 2
"32" 32 9 129 0 2
"33" 33 8 138 0 2
"34" 34 1 165 0 1
"35" 35 10 142 0 1
"36" 36 8 138 0 1
"37" 37 5 137 0 2
"38" 38 9 154 0 1
"39" 39 1 133 0 1
"40" 40 9 139 0 2
"41" 41 2 146 0 2
"42" 42 9 152 0 1
"43" 43 7 149 0 2
"44" 44 10 128 0 2
"45" 45 8 131 0 1
"46" 46 4 136 0 2
"47" 47 1 148 0 2
"48" 48 4 134 0 2
"49" 49 1 137 0 1
"50" 50 4 137 0 1
"51" 51 31 159 1 2
"52" 52 32 167 1 2
"53" 53 27 175 1 1
"54" 54 37 189 1 1
"55" 55 28 179 1 1
"56" 56 27 145 1 1
"57" 57 30 161 1 2
"58" 58 35 181 1 2
"59" 59 31 177 1 1
"60" 60 27 178 1 2
"61" 61 26 170 1 2
"62" 62 31 158 1 1
"63" 63 32 179 1 1
"64" 64 37 192 1 1
"65" 65 35 183 1 2
"66" 66 31 184 1 1
"67" 67 29 169 1 1
"68" 68 34 182 1 2
"69" 69 30 190 1 1
"70" 70 30 195 1 2
"71" 71 35 182 1 2
"72" 72 30 174 1 1
"73" 73 37 184 1 2
"74" 74 29 188 1 2
"75" 75 23 150 1 1
"76" 76 31 178 1 1
"77" 77 35 186 1 2
"78" 78 28 170 1 1
"79" 79 21 149 1 1
"80" 80 33 203 1 2
"81" 81 27 172 1 2
"82" 82 23 160 1 2
"83" 83 36 179 1 2
"84" 84 30 195 1 1
"85" 85 32 160 1 1
"86" 86 20 147 1 1
"87" 87 22 144 1 2
"88" 88 35 178 1 1
"89" 89 34 168 1 1
"90" 90 27 157 1 1
"91" 91 34 184 1 1
"92" 92 18 133 1 2
"93" 93 31 160 1 1
"94" 94 29 170 1 2
"95" 95 30 167 1 1
"96" 96 28 154 1 1
"97" 97 29 181 1 1
"98" 98 34 172 1 1
"99" 99 23 159 1 2
"100" 100 25 177 1 1
